comment,author_display_name,comment_like_count
fuck off,@arp,10
I love this song 💕,@roshanirathod4627,0
LOVE SANAM,@mridulabakshi9639,0
Amazing songs,@afrinnishat9664,0
Sanam   your are heart gold,@user-ck2uc9zo4r,0
Lovely❤❤,@shirkeds2859,0
Stole my heart in seconds 😭❤,@debabratadebnath547,3
❤,@bharathim3452,0
Love this group. Sanam puri is great,@user-uq8zy1fe5z,3
Old song ko saman Dena koi deta hai vo Sanam hi hai baki sb to old song ka rap hi kr dete hai,@pawankumar-nj7ho,0
So nice song,@Srabanimitra123,1
so so so so so so beauty ful❤❤❤❤song ro lovely ❤❤song❤❤❤❤❤😊😊❤❤❤,@user-zv6cq9nt9m,2
❤❤❤❤❤❤❤❤,@laxmidubey4342,0
Unique style of singing,@DiptiVishwakarma-jt4dr,0
Tum to gana meiñ jaan dal dete ho,@DiptiVishwakarma-jt4dr,0
Fabulous ❤,@user-gl7vx7iy4j,0
Dil se Gaya h  or voice bhi bhot achi h dill ko chu ge 😊😊😊😊,@suryadev8536,1
"I don't know How beautiful This song Can be ❤❤❤❤❤❤",@akmshameemakhter9204,1
❤ Ho no,@sagarjadhav-yd9km,0
No one can beat sanam❤️😍,@brahmadutttripathi7012,0
you guys n gals are simply WOW !!!!!!!,@pervyynkavarana2785,0
"SUPERB RENDITION OF SONGS OF YESTERYEARS - KISHORE KUMAR, MOHD RAFI, MUKESH ETC REBORN ..... CONGRATS TEAM SANAM.",@pervyynkavarana2785,7
"Old is gold
❤❤❤",@user-di3jj8sh6b,0
"Atif aslam, arjit singh, jubin they are nothing in front of u❤",@spandey4088,1
Nice voice❤,@spandey4088,1
All song my favorite❤,@rakhi._27,1
Ooo how magnificent is his tone of voice! Gods gift!,@user-nz3po7oi1k,0
3:10,@subratapaul5728,0
Wawo,@rajnisingh5004,0
❤,@Nitish_fitness406,0
Nice voice bro😊,@aakashrajouriya7274,0
I love old remix song ❤❤❤❤❤,@user-oj4bp5ci9e,0
I am sad my best friend didn't invite me for the Sanam concert,@nidhishewale8781,12
Best of sanam,@littleyadav5858,0
